"","Trait_1"
"ID_1",1.12902610856118
"ID_2",-0.742927784988953
"ID_3",0.0541980240846643
"ID_4",-1.28049195366361
"ID_5",-1.58472101082652
"ID_6",-0.856538706851233
"ID_7",-0.751150434574431
"ID_8",-0.208062985275203
"ID_9",0.152039474537005
"ID_10",0.642438471039688
"ID_11",-1.15990437920165
"ID_12",0.780917428182207
"ID_13",0.883368861830515
"ID_14",-0.365532285291638
"ID_15",-1.63045104719727
"ID_16",-1.14568420154581
"ID_17",0.171543300236421
"ID_18",0.458313825082917
"ID_19",0.842587818631093
"ID_20",-0.609758534435125
"ID_21",-0.270150324447633
"ID_22",-0.604710975268167
"ID_23",1.36935315087366
"ID_24",0.353490797446356
"ID_25",-1.24875475450067
"ID_26",-0.927965563844848
"ID_27",0.693829966403637
"ID_28",0.101786627392622
"ID_29",1.50104215375861
"ID_30",-0.255645284728667
"ID_31",1.75099378293939
"ID_32",0.23969476001516
"ID_33",-1.04020395645564
"ID_34",-0.69282842034867
"ID_35",0.516430981598655
"ID_36",-0.737535499392396
"ID_37",-0.809253584308932
"ID_38",-1.69584138155503
"ID_39",0.821210761448048
"ID_40",-0.359051615374935
"ID_41",-0.26736929169272
"ID_42",-0.00781777901520571
"ID_43",-0.419401479633852
"ID_44",-1.3303359866907
"ID_45",0.554729532582045
"ID_46",-0.572807675014177
"ID_47",-1.01260755168658
"ID_48",0.050173316716796
"ID_49",-0.161972879485724
"ID_50",-0.715884736724651
"ID_51",-1.42764642565221
"ID_52",-0.868386221460732
"ID_53",-1.1449859265479
"ID_54",1.15672626128835
"ID_55",-1.30351222963638
"ID_56",0.279043720774078
"ID_57",0.913492123383402
"ID_58",3.27777672860337
"ID_59",-0.405497579303031
"ID_60",0.245507641183652
"ID_61",0.425218123121513
"ID_62",1.9987912383532
"ID_63",-0.0825227630261934
"ID_64",2.23849572959507
"ID_65",-0.740400137911623
"ID_66",-2.10755526930412
"ID_67",0.130149671946203
"ID_68",-1.26895668439408
"ID_69",-0.0918520126692514
"ID_70",0.510464063603876
"ID_71",-0.140771577580212
"ID_72",0.15526268186191
"ID_73",2.0135583216427
"ID_74",2.03899190591634
"ID_75",0.724428349875794
"ID_76",-1.35072920400642
"ID_77",0.477705050923302
"ID_78",0.511908620975605
"ID_79",0.661384723291335
"ID_80",-0.356737212044645
"ID_81",0.478951513665529
"ID_82",0.422906423799072
"ID_83",0.949997619795906
"ID_84",-0.425290255149963
"ID_85",1.19322151441939
"ID_86",-0.921116135704434
"ID_87",-1.545644698723
"ID_88",-1.06099313936546
"ID_89",0.464558730568875
"ID_90",-1.75837710601656
"ID_91",0.829809692701393
"ID_92",1.19361570651645
"ID_93",0.342441795406597
"ID_94",0.425025992853125
"ID_95",-1.55792056303239
"ID_96",-0.492071411556085
"ID_97",-1.23626840820101
"ID_98",-0.766659062677655
"ID_99",-1.05766062146159
"ID_100",0.253852415025842
"ID_101",1.87569211064465
"ID_102",0.291923644036833
"ID_103",-0.209449455218373
"ID_104",-0.670251891262895
"ID_105",0.627765379511253
"ID_106",0.06089200512485
"ID_107",1.14367759385548
"ID_108",1.31614598802003
"ID_109",0.211751230058281
"ID_110",0.800433958508003
"ID_111",-0.0591405536087833
"ID_112",0.735471938151148
"ID_113",-0.417967036600661
"ID_114",-2.06706072723736
"ID_115",0.446643585133588
"ID_116",1.17627159986034
"ID_117",1.59626001175469
"ID_118",-1.47245423584002
"ID_119",-0.919378610316385
"ID_120",0.904439233520019
"ID_121",-0.237266536781892
"ID_122",-0.0569136346057261
"ID_123",-1.03536712846065
"ID_124",0.776912096161623
"ID_125",-0.645565433321469
"ID_126",-0.0893461446496351
"ID_127",0.123618846479634
"ID_128",-0.523569646358153
"ID_129",0.668468218288474
"ID_130",-0.143686333766331
"ID_131",1.7847657404352
"ID_132",-0.506283763970822
"ID_133",0.75183571139335
"ID_134",-0.0305988105210069
"ID_135",-1.29677212185558
"ID_136",-1.01502762910619
"ID_137",0.48786257878245
"ID_138",0.826062786999876
"ID_139",-1.38359418158144
"ID_140",1.47785280510998
"ID_141",0.458582783449573
"ID_142",2.44543199244065
"ID_143",1.10927480566365
"ID_144",0.00581056992166207
"ID_145",-2.12309076604036
"ID_146",0.36619190079947
"ID_147",-0.983738135102093
"ID_148",-0.861795082697598
"ID_149",-0.613135649803767
"ID_150",0.561699025718396
"ID_151",-1.43233910271954
"ID_152",-0.0892669941895514
"ID_153",0.259134336083165
"ID_154",-0.851238334611764
"ID_155",2.25315643917068
"ID_156",-0.938211181303458
"ID_157",0.716289378302086
"ID_158",-0.42793738388184
"ID_159",0.573074612629614
"ID_160",-1.05107843206041
"ID_161",-0.203627457579008
"ID_162",0.583327740926334
